"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group1",48087.0770543934
"Cell2","Cell2","Batch1","Group1",60464.4029696114
"Cell3","Cell3","Batch1","Group3",47112.8387925318
"Cell4","Cell4","Batch1","Group6",62193.3773578395
"Cell5","Cell5","Batch1","Group5",77616.9554150599
"Cell6","Cell6","Batch1","Group5",48689.8201506856
"Cell7","Cell7","Batch1","Group6",51653.4283623628
"Cell8","Cell8","Batch1","Group2",60434.3413585805
"Cell9","Cell9","Batch1","Group5",48848.5891622177
"Cell10","Cell10","Batch1","Group6",55455.8899480882
"Cell11","Cell11","Batch1","Group4",71292.8329941782
"Cell12","Cell12","Batch1","Group6",72686.3583451459
"Cell13","Cell13","Batch1","Group1",64651.6776120361
"Cell14","Cell14","Batch1","Group3",41344.2596512329
"Cell15","Cell15","Batch1","Group4",59231.018964
"Cell16","Cell16","Batch1","Group1",74083.9836515125
"Cell17","Cell17","Batch1","Group1",70448.6255448623
"Cell18","Cell18","Batch1","Group2",57632.1992458943
"Cell19","Cell19","Batch1","Group4",34892.0412679844
"Cell20","Cell20","Batch1","Group5",60608.6758565752
"Cell21","Cell21","Batch1","Group1",67154.4412830352
"Cell22","Cell22","Batch1","Group2",60425.1516894993
"Cell23","Cell23","Batch1","Group1",61789.1157902
"Cell24","Cell24","Batch1","Group1",65271.6502386483
"Cell25","Cell25","Batch1","Group2",55308.9518744374
"Cell26","Cell26","Batch1","Group5",77807.6975225127
"Cell27","Cell27","Batch1","Group4",65780.4973139238
"Cell28","Cell28","Batch1","Group1",46698.4356802526
"Cell29","Cell29","Batch1","Group4",78929.8759674953
"Cell30","Cell30","Batch1","Group1",76182.8604122988
"Cell31","Cell31","Batch1","Group6",70602.0734998544
"Cell32","Cell32","Batch1","Group6",42936.3523216476
"Cell33","Cell33","Batch1","Group4",53430.5912771278
"Cell34","Cell34","Batch1","Group6",67989.1058651333
"Cell35","Cell35","Batch1","Group2",60400.001062597
"Cell36","Cell36","Batch1","Group6",64189.9837231151
"Cell37","Cell37","Batch1","Group2",97921.2349775627
"Cell38","Cell38","Batch1","Group3",50834.1644020209
"Cell39","Cell39","Batch1","Group1",39236.3925710904
"Cell40","Cell40","Batch1","Group5",63242.957371555
"Cell41","Cell41","Batch1","Group4",52181.3605100383
"Cell42","Cell42","Batch1","Group4",65460.8943557948
"Cell43","Cell43","Batch1","Group2",50895.1572329881
"Cell44","Cell44","Batch1","Group1",93191.4348842524
"Cell45","Cell45","Batch1","Group4",58410.9590212287
"Cell46","Cell46","Batch1","Group1",54422.4971982698
"Cell47","Cell47","Batch1","Group1",57915.92689855
"Cell48","Cell48","Batch1","Group5",71147.6572972676
"Cell49","Cell49","Batch1","Group1",61051.1976602271
"Cell50","Cell50","Batch1","Group5",43255.3693795212
"Cell51","Cell51","Batch1","Group4",59818.8343738376
"Cell52","Cell52","Batch1","Group4",69706.4710242004
"Cell53","Cell53","Batch1","Group4",60342.8764680004
"Cell54","Cell54","Batch1","Group6",69356.4500288468
"Cell55","Cell55","Batch1","Group2",58145.5991799326
"Cell56","Cell56","Batch1","Group6",59184.9480673012
"Cell57","Cell57","Batch1","Group6",65938.2444760556
"Cell58","Cell58","Batch1","Group3",73027.307633705
"Cell59","Cell59","Batch1","Group3",46663.6561790536
"Cell60","Cell60","Batch1","Group5",59474.4742349808
"Cell61","Cell61","Batch1","Group6",59030.3834315114
"Cell62","Cell62","Batch1","Group1",51442.2896629648
"Cell63","Cell63","Batch1","Group6",48685.0912552161
"Cell64","Cell64","Batch1","Group5",52778.205465567
"Cell65","Cell65","Batch1","Group1",67330.0244046565
"Cell66","Cell66","Batch1","Group3",55090.6598883067
"Cell67","Cell67","Batch1","Group3",51175.8202174394
"Cell68","Cell68","Batch1","Group6",61863.3539952558
"Cell69","Cell69","Batch1","Group6",46754.0963331698
"Cell70","Cell70","Batch1","Group3",73804.4830919778
"Cell71","Cell71","Batch1","Group2",54343.5340502985
"Cell72","Cell72","Batch1","Group2",62182.3055977644
"Cell73","Cell73","Batch1","Group3",60488.0598273125
"Cell74","Cell74","Batch1","Group4",59871.2598159541
"Cell75","Cell75","Batch1","Group3",85980.5518590961
"Cell76","Cell76","Batch1","Group6",50763.5780335146
"Cell77","Cell77","Batch1","Group2",75289.3591042394
"Cell78","Cell78","Batch1","Group4",60253.4214631492
"Cell79","Cell79","Batch1","Group5",50663.3900467242
"Cell80","Cell80","Batch1","Group2",59056.3451790128
"Cell81","Cell81","Batch1","Group5",69518.9278335109
"Cell82","Cell82","Batch1","Group2",54989.4294057812
"Cell83","Cell83","Batch1","Group4",51307.0553535869
